k	p	c	o	f	g	s	otu
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Sediminibacterium	s__unknown	o__OTU552
k__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Microtrichales	f__Iamiaceae	g__Iamia	s__unknown	o__OTU553
k__Bacteria	p__Verrucomicrobiota	c__Chlamydiae	o__Chlamydiales	f__Parachlamydiaceae	g__unknown	s__unknown	o__OTU554
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flavobacterium	s__	o__OTU555
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Legionellaceae	g__Legionella	s__unknown	o__OTU556
k__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Synechococcales	f__Cyanobiaceae	g__Cyanobium PCC-6307	s__unknown	o__OTU558
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__unknown	s__unknown	o__OTU559
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter baumannii	o__OTU56
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__unknown	s__unknown	o__OTU560
k__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__unknown	s__unknown	o__OTU561
k__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__Phycisphaerales	f__Phycisphaeraceae	g__CL500-3	s__unknown	o__OTU563
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Holosporales	f__Holosporaceae	g__unknown	s__unknown	o__OTU564
k__Bacteria	p__Bdellovibrionota	c__Oligoflexia	o__Oligoflexales	f__Oligoflexaceae	g__unknown	s__unknown	o__OTU565
k__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Corynebacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium kroppenstedtii	o__OTU5657
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__unknown	s__unknown	o__OTU567
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__unknown	s__unknown	o__OTU568
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Nitrosomonadaceae	g__DSSD61	s__unknown	o__OTU569
k__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Microtrichales	f__Microtrichaceae	g__IMCC26207	s__unknown	o__OTU57
k__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Gemmatales	f__Gemmataceae	g__Zavarzinella	s__Cymbella subturgidula	o__OTU571
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	g__Hyphomicrobium	s__unknown	o__OTU573
k__Bacteria	p__Patescibacteria	c__Parcubacteria	o__unknown	f__unknown	g__unknown	s__unknown	o__OTU574
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__unknown	s__unknown	o__OTU5751
k__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Verrucomicrobiaceae	g__unknown	s__	o__OTU577
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__unknown	f__unknown	g__unknown	s__unknown	o__OTU5770
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Novosphingobium	s__unknown	o__OTU578
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Rurimicrobium	s__unknown	o__OTU580
k__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Corynebacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__unknown	o__OTU582
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__unknown	s__unknown	o__OTU584
k__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Frankiales	f__Sporichthyaceae	g__unknown	s__unknown	o__OTU585
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Rhizobacter	s__unknown	o__OTU586
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Reyranellales	f__Reyranellaceae	g__Reyranella	s__unknown	o__OTU588
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Erwiniaceae	g__Erwinia	s__unknown	o__OTU589
k__Bacteria	p__Elusimicrobiota	c__Elusimicrobia	o__Lineage IV	f__unknown	g__unknown	s__unknown	o__OTU59
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__Microscillaceae	g__unknown	s__unknown	o__OTU590
k__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Verrucomicrobiaceae	g__Prosthecobacter	s__unknown	o__OTU591
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Tardiphaga	s__unknown	o__OTU592
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__unknown	s__unknown	o__OTU594
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingopyxis	s__unknown	o__OTU597
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Rhodobacter	s__unknown	o__OTU598
k__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Chthoniobacterales	f__Chthoniobacteraceae	g__LD29	s__unknown	o__OTU6
k__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__Vicinamibacteraceae	g__unknown	s__unknown	o__OTU60
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__Massilia	s__unknown	o__OTU601
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__unknown	g__unknown	s__unknown	o__OTU602
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingobium	s__Sphingomonas sp.	o__OTU603
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Polaromonas	s__unknown	o__OTU6030
k__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__Solirubrobacteraceae	g__Conexibacter	s__Solirubrobacterales bacterium	o__OTU604
k__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Solibacterales	f__Solibacteraceae	g__Candidatus Solibacter	s__	o__OTU605
k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__unknown	o__OTU6050
k__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Micromonosporales	f__Micromonosporaceae	g__Actinoplanes	s__Micromonosporaceae bacterium	o__OTU6065
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Rhodoferax	s__unknown	o__OTU607
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Kaistiaceae	g__Kaistia	s__unknown	o__OTU6073
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Novosphingobium	s__unknown	o__OTU608
k__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Isosphaerales	f__Isosphaeraceae	g__unknown	s__unknown	o__OTU6098
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__unknown	s__unknown	o__OTU610
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Flavihumibacter	s__unknown	o__OTU611
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__unknown	g__unknown	s__unknown	o__OTU612
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Stenotrophomonas	s__unknown	o__OTU6121
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Nitrosomonadaceae	g__Ellin6067	s__unknown	o__OTU613
k__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__unknown	f__unknown	g__unknown	s__unknown	o__OTU615
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Methylococcales	f__Methylomonadaceae	g__Crenothrix	s__unknown	o__OTU6159
k__Bacteria	p__Spirochaetota	c__Leptospirae	o__Leptospirales	f__Leptospiraceae	g__Turneriella	s__unknown	o__OTU616
k__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Curtobacterium	s__unknown	o__OTU6166
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Sediminibacterium	s__unknown	o__OTU617
k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__Bacillus cereus	o__OTU618
k__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__Phycisphaerales	f__Phycisphaeraceae	g__unknown	s__unknown	o__OTU619
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Brevundimonas	s__unknown	o__OTU62
k__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Verrucomicrobiaceae	g__unknown	s__unknown	o__OTU620
k__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Rubritaleaceae	g__Luteolibacter	s__unknown	o__OTU622
k__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Verrucomicrobiaceae	g__Prosthecobacter	s__unknown	o__OTU623
k__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Propionibacteriales	f__Nocardioidaceae	g__Aeromicrobium	s__unknown	o__OTU626
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Sphingobacteriales	f__NS11-12 marine group	g__unknown	s__unknown	o__OTU628
k__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Frankiales	f__Sporichthyaceae	g__hgcI clade	s__unknown	o__OTU6295
k__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Frankiales	f__Sporichthyaceae	g__hgcI clade	s__unknown	o__OTU630
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__Microscillaceae	g__unknown	s__	o__OTU631
k__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Pedosphaerales	f__unknown	g__unknown	s__unknown	o__OTU633
k__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__unknown	s__unknown	o__OTU6330
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium sensu stricto 1	s__unknown	o__OTU6348
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__unknown	s__unknown	o__OTU636
k__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Planctomycetales	f__Schlesneriaceae	g__unknown	s__unknown	o__OTU637
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Arenimonas	s__Arenimonas subflava	o__OTU638
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Nitrosomonadaceae	g__Nitrosomonas	s__Nitrosomonas sp. Is79A3	o__OTU639
k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Listeriaceae	g__Listeria	s__unknown	o__OTU6390
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Rhodobacter	s__Rhodobacter sphaeroides	o__OTU64
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Rhodocyclaceae	g__Sulfuritalea	s__unknown	o__OTU640
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__unknown	s__unknown	o__OTU641
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Sphingobacteriales	f__NS11-12 marine group	g__unknown	s__unknown	o__OTU642
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__	g__Nordella	s__unknown	o__OTU6421
k__Bacteria	p__Firmicutes	c__Bacilli	o__Exiguobacterales	f__Exiguobacteraceae	g__Exiguobacterium	s__unknown	o__OTU643
k__Bacteria	p__Myxococcota	c__Polyangia	o__Haliangiales	f__Haliangiaceae	g__Haliangium	s__myxobacterium AT3-03	o__OTU6447
k__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__IMCC26256	f__	g__unknown	s__unknown	o__OTU647
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__unknown	s__Danio rerio	o__OTU649
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__unknown	s__unknown	o__OTU65
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Saprospiraceae	g__unknown	s__unknown	o__OTU650
k__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__PeM15	f__unknown	g__unknown	s__unknown	o__OTU652
k__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Frankiales	f__Sporichthyaceae	g__unknown	s__unknown	o__OTU653
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Rhodocyclaceae	g__Sulfuritalea	s__unknown	o__OTU6546
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Rhodocyclaceae	g__unknown	s__unknown	o__OTU6549
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Saprospiraceae	g__Haliscomenobacter	s__unknown	o__OTU656
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Saprospiraceae	g__unknown	s__unknown	o__OTU657
k__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Microtrichales	f__Ilumatobacteraceae	g__Ilumatobacter	s__unknown	o__OTU658
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__unknown	g__unknown	s__unknown	o__OTU6593
k__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Methylacidiphilales	f__Methylacidiphilaceae	g__unknown	s__unknown	o__OTU66
k__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Paenarthrobacter	s__unknown	o__OTU660
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Nitrosomonadaceae	g__DSSD61	s__unknown	o__OTU661
k__Bacteria	p__Desulfobacterota	c__unknown	o__unknown	f__unknown	g__unknown	s__unknown	o__OTU662
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	g__Porphyromonas	s__Porphyromonas pasteri	o__OTU6628
k__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__Vicinamibacteraceae	g__unknown	s__unknown	o__OTU663
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__Undibacterium	s__unknown	o__OTU664
k__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Microtrichales	f__Microtrichaceae	g__unknown	s__unknown	o__OTU6662
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Phenylobacterium	s__Phenylobacterium aquaticum	o__OTU668
k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__unknown	g__unknown	s__unknown	o__OTU669
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Rhodocyclaceae	g__Sulfuritalea	s__unknown	o__OTU6697
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Novosphingobium	s__Novosphingobium stygium	o__OTU672
k__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Frankiales	f__Sporichthyaceae	g__hgcI clade	s__unknown	o__OTU6726
k__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Frankiales	f__Sporichthyaceae	g__Longivirga	s__Longivirga aurantiaca	o__OTU673
k__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Pirellulales	f__Pirellulaceae	g__unknown	s__unknown	o__OTU674
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__unknown	s__unknown	o__OTU676
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Rhodocyclaceae	g__Sulfuritalea	s__unknown	o__OTU6767
k__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Planctomycetales	f__Schlesneriaceae	g__Schlesneria	s__unknown	o__OTU677
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__37-13	g__unknown	s__unknown	o__OTU678
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__unknown	s__unknown	o__OTU68
k__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__unknown	s__unknown	o__OTU680
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Rhizobacter	s__unknown	o__OTU682
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Coxiellales	f__Coxiellaceae	g__Coxiella	s__unknown	o__OTU683
k__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Microtrichales	f__Ilumatobacteraceae	g__Ilumatobacter	s__unknown	o__OTU684
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Novosphingobium	s__Novosphingobium stygium	o__OTU686
k__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__unknown	s__unknown	o__OTU687
k__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Pedosphaerales	f__Pedosphaeraceae	g__Ellin517	s__unknown	o__OTU69
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__	g__unknown	s__unknown	o__OTU691
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Sediminibacterium	s__Candidatus Jacksonbacteria	o__OTU692
k__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Propionibacteriales	f__Nocardioidaceae	g__Nocardioides	s__unknown	o__OTU6938
k__Bacteria	p__Elusimicrobiota	c__Elusimicrobia	o__Lineage IV	f__unknown	g__unknown	s__unknown	o__OTU697
k__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Rubritaleaceae	g__Luteolibacter	s__unknown	o__OTU701
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Polaromonas	s__unknown	o__OTU702
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Gemmobacter	s__unknown	o__OTU705
k__Bacteria	p__Actinobacteriota	c__Rubrobacteria	o__Rubrobacterales	f__Rubrobacteriaceae	g__Rubrobacter	s__unknown	o__OTU7055
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__unknown	f__unknown	g__unknown	s__unknown	o__OTU706
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__unknown	s__unknown	o__OTU707
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Arenimonas	s__unknown	o__OTU709
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Rhodoferax	s__unknown	o__OTU71
k__Bacteria	p__Patescibacteria	c__Parcubacteria	o__Candidatus Nomurabacteria	f__unknown	g__unknown	s__unknown	o__OTU710
k__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Sandaracinaceae	g__unknown	s__unknown	o__OTU711
k__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Frankiales	f__Sporichthyaceae	g__hgcI clade	s__unknown	o__OTU712
k__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__Pajaroellobacter	s__	o__OTU7129
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__unknown	f__unknown	g__unknown	s__unknown	o__OTU715
k__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Verrucomicrobiaceae	g__Brevifollis	s__Brevifollis gellanilyticus	o__OTU716
k__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Subgroup 2	f__	g__unknown	s__unknown	o__OTU7166
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Sphingobacteriales	f__AKYH767	g__unknown	s__unknown	o__OTU717
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Novosphingobium	s__unknown	o__OTU718
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__Massilia	s__unknown	o__OTU719
k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__unknown	s__unknown	o__OTU72
k__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__unknown	g__unknown	s__unknown	o__OTU722
k__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Gemmatales	f__Gemmataceae	g__Fimbriiglobus	s__unknown	o__OTU723
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flavobacterium	s__unknown	o__OTU724
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Beijerinckiaceae	g__Methylobacterium-Methylorubrum	s__unknown	o__OTU726
k__Bacteria	p__Planctomycetota	c__Pla4 lineage	o__unknown	f__unknown	g__unknown	s__unknown	o__OTU728
k__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	g__Actinomyces	s__unknown	o__OTU73
k__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__unknown	s__unknown	o__OTU732
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Novosphingobium	s__	o__OTU734
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Proteus	s__unknown	o__OTU736
k__Bacteria	p__Chloroflexi	c__Ktedonobacteria	o__Ktedonobacterales	f__Ktedonobacteraceae	g__HSB OF53-F07	s__	o__OTU7367
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Sediminibacterium	s__unknown	o__OTU737
k__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Rubritaleaceae	g__Luteolibacter	s__unknown	o__OTU740
k__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bacteriovoracales	f__Bacteriovoracaceae	g__Bacteriovorax	s__unknown	o__OTU741
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__unknown	s__unknown	o__OTU742
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__unknown	s__unknown	o__OTU746
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Ferruginibacter	s__unknown	o__OTU749
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas aeruginosa	o__OTU75
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Ferruginibacter	s__unknown	o__OTU750
k__Bacteria	p__Firmicutes	c__Clostridia	o__Peptostreptococcales-Tissierellales	f__Peptostreptococcaceae	g__Clostridioides	s__Clostridioides difficile	o__OTU7539
k__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Microtrichales	f__Ilumatobacteraceae	g__CL500-29 marine group	s__unknown	o__OTU755
k__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Nitrospira	s__unknown	o__OTU757
k__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Verrucomicrobiaceae	g__unknown	s__unknown	o__OTU758
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__unknown	g__unknown	s__unknown	o__OTU759
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__	g__unknown	s__unknown	o__OTU76
k__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Gaiellales	f__Gaiellaceae	g__Gaiella	s__unknown	o__OTU760
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Sediminibacterium	s__unknown	o__OTU761
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__unknown	s__unknown	o__OTU762
k__Bacteria	p__Chloroflexi	c__KD4-96	o__unknown	f__unknown	g__unknown	s__unknown	o__OTU7633
k__Bacteria	p__Firmicutes	c__Limnochordia	o__M55-D21	f__unknown	g__unknown	s__unknown	o__OTU765
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Sediminibacterium	s__Candidatus Jacksonbacteria	o__OTU766
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Sediminibacterium	s__unknown	o__OTU768
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Ferruginibacter	s__unknown	o__OTU769
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia-Shigella	s__unknown	o__OTU77
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Limnohabitans	s__unknown	o__OTU771
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Saprospiraceae	g__unknown	s__unknown	o__OTU773
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Sediminibacterium	s__unknown	o__OTU775
k__Bacteria	p__Planctomycetota	c__OM190	o__	f__unknown	g__unknown	s__unknown	o__OTU777
k__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__Phycisphaerales	f__Phycisphaeraceae	g__CL500-3	s__unknown	o__OTU778
k__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__67-14	g__unknown	s__unknown	o__OTU78
